SAFE MEBP Dashboard,,,,,,,,,,
,Block,Task_ID,Created_By,Responsible,Description,Raised_On,Status,Completed_Date,Type,Resolution_Notes
1,G3 BLOCK,8249,Mohiddin,Praveen M P,7th floor to 10th floor inside all hydrant shaft service,2022-07-05,OPEN,,FIRE FIGHTING,
2,C2 BLOCK,8251,Ravi CR,Praveen M P,Booster Pump is not working,2022-07-05,OPEN,,FIRE FIGHTING,
3,L3 BLOCK,8253,Venkateshappa,Praveen M P,Sprinkler pump Sluice valve leakage need to rectify,2022-07-05,OPEN,,FIRE FIGHTING,
4,N1 BLOCK,8255,Babu naik,Prashanth M,N1 Block total 27 nos cameras got failed,2022-07-05,OPEN,,CCTV,
5,F2 BLOCK,8241,Mano.c,Prasanth M,F2 North West PTZ Camera Got failed,2022-07-04,COMPLETED,,CCTV,
6,COMMON AREA,8235,Babu naik,Prasanth M,"Gate-1, gate-2, and sky walk total 26 nos of cameras got faild at 00:14hrs",2022-07-02,COMPLETED,,CCTV,
7,COMMON AREA,8237,Venkat,Prasanth M,"G Parcel, D Parcel, FParcel, E1,E1, N1, Gate1, Gate2,Gate3 & Skywalk total -187 No's camera's are failed.",2022-07-02,COMPLETED,,CCTV,
8,D1 BLOCK,8239,Sudeep,Praveen M P,While testing time D1 block fire engine not getting start,2022-07-02,OPEN,,FIRE FIGHTING,
9,COMMON AREA,8227,Babu naik,Prasanth M,vidionetic softwere PTZ cameras rotating problem and and backup event issue (backup not plying),2022-07-01,OPEN,,CCTV,
10,G4 BLOCK,8229,Mohiddin,Praveen M P,Jockey pump auto cutoff issue,2022-07-01,COMPLETED,,FIRE FIGHTING,
11,F2 BLOCK,8231,Mano.c,Prasanth M,F2 Electrical Room-1 camera got failed,2022-07-01,COMPLETED,,CCTV,
12,C4 COMMAND CENTER,8233,Mano.c,Prasanth M,Videonetics PTZ Cameras rotation Stopped,2022-07-01,OPEN,,CCTV,
13,L5 BLOCK,8223,Mano.c,Prasanth M,L5 North east PTZ Camera got failed,2022-06-30,OPEN,,CCTV,
14,COMMON AREA,8225,Mano.c,Prasanth M,PTZ Cameras Rotation Stopped,2022-06-30,OPEN,,CCTV,
15,F3 BLOCK,8219,Manjunath rao N,Jegathesh Johnson,Fire panel showing 95 nos trouble need to be clear,2022-06-29,OPEN,,FIRE ALARM,
16,L3 BLOCK,8221,Venkateshappa,Jegathesh Johnson,DG room Heat detector activated frequently,2022-06-29,OFFER SHARED AWAITING PO,,FIRE ALARM,Multi Sensor Detectors to be replaced with Heat Detectors and relocation to be done. 
17,F3 BLOCK,8215,Mano.c,Prasanth M,F3 B wing PL-12 camera got failed,2022-06-28,COMPLETED,,CCTV,
18,COMMON AREA,8217,Babu naik,Prasanth M,vidionetics softwere all PTZ cameras roteting issue,2022-06-28,OPEN,,CCTV,
19,N1 BLOCK,8213,Nazmul,Prasanth M,N1 Passanger lift R5 Camera got failed,2022-06-27,OPEN,,CCTV,
20,K BLOCK,8199,Venkat,Prasanth M,K Block -06No's camera's are failed.,2022-06-25,COMPLETED,,CCTV,
21,F2 BLOCK,8201,Manjunath rao N,Jegathesh Johnson,All locations smoke detector need to be clean,2022-06-25,OPEN,,FIRE ALARM,
22,F3 BLOCK,8203,Manjunath rao N,Jegathesh Johnson,All locations smoke detector need to be clean,2022-06-25,OPEN,,FIRE ALARM,
23,F2 BLOCK,8205,Manjunath rao N,Praveen M P,All locations Valve need to be service,2022-06-25,OPEN,,FIRE FIGHTING,
24,F3 BLOCK,8207,Manjunath rao N,Praveen M P,All locations Valve need to be service,2022-06-25,OPEN,,FIRE FIGHTING,
25,COMMON AREA,8209,Mano.c,Prasanth M,"Gate-01,Gate-02 & Sky walk cameras Got failed ( total-27 cameras)",2022-06-25,COMPLETED,,CCTV,
26,L2 BLOCK,8197,Venkateshappa,Praveen M P,"Yard hydrant #9, spindle washer need to be replace",2022-06-24,OPEN,,HYDRANT SYSTEM,
27,COMMON AREA,8179,Mano.c,Prasanth M,Gate-03 Cameras got failed (03 nos Cameras ),2022-06-23,COMPLETED,,CCTV,
28,L7 MLCP,8181,Dinakar Raj D,Praveen M P,Jockey pump coupling abnormal sound,2022-06-23,OPEN,,FIRE FIGHTING,
29,COMMON AREA,8183,Mano.c,Prasanth M,"Gate-01,Gate-02 , K block & Sky walk Cameras got failed",2022-06-23,COMPLETED,,CCTV,
